//word	wrong	right
abraxas	&agr;	&alpha;
alpha	&agr;	&alpha;
ideograph	&agr;	&alpha;
abraxas	&bgr;	&beta;
abraxas	&rgr;	&rho;
abraxas	&xgr;	&xi;
abraxas	&sfgr, 	&#x03C2;, 
accent	&tprime;	'''
adonic verse	&shortsyllable;	&#x02D8;
scansion	&shortsyllable;	&#x02D8;
alternate	&square;	&#x25A1;
alternate	&cir;	&#x25CB;
am	&schwa;	&#x0259;
ap-	&assocpress;	<img src="g/ap.png" class="icw" style="height:1em">
asterism	&upstar;	<span style='font-family:"Lucida Sans Unicode"'>&#x2042;</span>
asterism	&downstar;	<span style='display:inline-block;font-family:"Lucida Sans Unicode";transform:scaleY(-1);-webkit-transform:scaleY(-1);filter:FlipV;'>&#x2042;</span>
sixth chord	&#38;6chord;	<span style="display:inline-block;margin-bottom:-0.3em;vertical-align:-0.4em;line-height:1em;font-size:80%;text-align:left">6<br>3</span>
baritone	&flat;	&#x266d;
channel	&sqcup;	&#x2294;
check	&check;	&#x2713;
chevron	&chevron1;	<img src="g/chevron1.png" class="icw" style="height:1em">
chevron	&chevron2;	<img src="g/chevron2.png" class="icw" style="height:1em">
chiasma	&khgr;	&chi;
chiasmus	&khgr;	&chi;
i.x.	&khgr;	&chi;
transliterate	&khgr;	&chi;
coincide	&utri; &utri;	&#x25B3;&#x25B3;
conjunction	&conjunction;	&and;
cosine	&fracacbc;	AC / BC
cosine	&fracabbc;	AB / BC
declination	&dgr;	&delta;
dele	&dgr;	&delta;
delta	&Dgr;	&Delta;
electrotype	&mldr;	&#x2026;
equation	&pgr;	&pi;
gilbert	&pgr;	&pi;
pi	&pgr;	&pi;
transcendental	&pgr;	&pi;
formula	&chemform;	<img src="g/chemform.png" class="icw" style="height:2.5em">
fraction	&fraction1;	<img src="g/fraction1.png" class="icw" style="height:2.5em">
fraction	&fraction2;	<img src="g/fraction2.png" class="icw" style="height:1.8em">
fraction	&fraction3;	<img src="g/fraction3.png" class="icw" style="height:1.8em">
gammadion	&Ggr;	&Gamma;
hacek	&caron;	&#x02C7;
hatch acts	&hyphen;	&#x2014;
high-temperature superconductor	&hyphen;	&#x2014;
slur	&hyphen;	&#x2014;
hyoid	&ugr;	&upsilon;
i	&sqrt&#173;1;	&radic;-1, square root of minus one.
index	3&cbrt764;	&#x221B;764 the index is 3.
lazy	&lazyJ;	<img src="g/lazyj.png" class="icw" style="height:1em">
radical sign	&radic;16	&radic;16
radical sign	&cbrt27;	&#x221B;27 = the cube root of 27 = 3.
scansion	&pause;	&#x028C;
slur	&rdquor;	&rdquo;
tangent	&circlestangent;	<img src="g/tangent.png" class="icw" style="height:1em">
transliterate	&phgr;	&phi;
xp	&KHgr;	&Chi;
xp	&Rgr;	&rho;
xp	&Igr;	&iota;
xp	&Sgr;	&sigma;
xp	&Tgr;	&tau;
xp	&Ogr;	&omicron;
genre	<a href="javascript:showEntry('gender&lsqb;&etydf;Old French ', 'ent_052676')" target="_top"><B>gender[&#060; Old French </B>.</a>]	<a href="javascript:showEntry('gender', 'ent_052676')" target="_top"><B>gender</B>.</a>[&lt; Old French]
abstinent	asmh>sti	ab</b>|<b>sti
accommodative	dsml>tive	da</b>|<b>tive
acquiesce	acml>qui	ac</b>|<b>qui
inappropriate	prsmh>pri	pro</b>|<b>pri
swish	swishmh>ing	swish</b>|<b>ing
village	vismh>lage	vil</b>|<b>lage
barrage	<i>for n. 3</i>)	<i>for n. 3</i>&raquo;
cadre	&#171;KAH duhr	KAH duhr
chiropodist	<i>see note below</i>)	<i>see note below</i>&raquo;
executor	<i>for 2</i>)	<i>for 2</i>&raquo;
metroplex	troh plehx}	troh plehx&raquo;
short-toed eagle	SHAWRT <SMALL>TOHD</SMALL>, 	SHAWRT <SMALL>TOHD</SMALL>&raquo;
voice-recognition technology	uh- GNIHSH uhn, 	uh- GNIHSH uhn&raquo;
achromatism	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
adjure	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
adonai	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
annals	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
brine	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
burden	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
citrous	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
clockmaker	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
close-reefed	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
communion	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
conjugality	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
contuse	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
deaconlike	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
divide	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
excalate	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
excise	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
exemptible	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
extensimeter	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
galenic	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
hellbent	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
interlingua	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
leno	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
letters	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
lignitic	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
melanotic	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
meniscoid	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
metalwork	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
metrist	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
octoroon	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
out-migrate	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
paleogeographic	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
panic-stricken	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
picture	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
pictures	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
preponderous	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
rangefinding	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
recover	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
reducibility	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
scallion	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
schoolgirlish	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
scrawniness	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
sisal	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
spiced	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
tarrock	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
underproof	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
wejack	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
whole-souled	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
yuca	$(&#171;[^&]+?),?\s*(?=<i>)	\1&raquo;, 
centuplicate	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
choral	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
combine	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
disproportionate	$(<span class="wb-dict-headword">.+?</span>[\xFF\s]*)\s*\((?=<i>[^&]+&#187;)	\1&laquo;
